代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sh000001,上证指数,4065.5834,-10.333,-0.254,4075.9167,4040.2992,4095.0303,4029.9731,556709801,898655032959
sh000002,Ａ股指数,4262.9171,-10.874,-0.254,4273.7908,4236.3952,4293.8003,4225.5831,556434927,898049697033
sh000003,Ｂ股指数,262.929,-0.743,-0.282,263.672,263.344,264.1212,262.092,175538,75466242
sh000004,工业指数,3803.4966,-2.353,-0.062,3805.8498,3760.9228,3836.5392,3753.5702,348772501,692835587266
sh000005,商业指数,2846.5691,-11.074,-0.388,2857.6431,2846.5773,2861.5914,2829.892,44349076,52649108727
sh000006,地产指数,4396.9467,-79.469,-1.775,4476.4162,4452.3208,4466.8885,4395.5599,10069351,5582297495
sh000007,公用指数,4846.0365,-23.451,-0.482,4869.4875,4839.4574,4876.5049,4818.2598,50934670,37833273064
sh000008,综合指数,3507.1571,-20.577,-0.583,3527.7343,3516.4997,3526.6301,3489.8574,102584203,109754766407
sh000009,上证380,7133.5995,-8.765,-0.123,7142.3645,7063.9172,7213.6586,7045.2212,116664582,214373047435
sh000010,上证180,10177.374,-51.607,-0.505,10228.9807,10121.613,10245.2832,10090.1111,132823298,265723203715
sh000011,基金指数,7171.7522,-7.092,-0.099,7178.8444,7165.3827,7182.1182,7160.1718,1255305945,454520942140
sh000012,国债指数,225.6292,0.169,0.075,225.46,225.4787,225.6419,225.4787,36389331,36297004677
sh000015,红利指数,3117.5378,-10.465,-0.335,3128.0029,3103.6778,3136.6289,3093.2103,38079252,35169304421
sh000016,上证50,3037.8602,-21.152,-0.691,3059.012,3027.1727,3056.0036,3015.6256,46789818,133605955584
sh000017,新综指,3436.5417,-8.732,-0.253,3445.2742,3415.1382,3461.4489,3406.4111,550206406,886378477471
sh000018,180金融,5683.8199,-35.347,-0.618,5719.1673,5695.3321,5723.2638,5653.9033,38337722,42062750761
sh000019,治理指数,1265.1862,-9.428,-0.74,1274.6137,1262.2555,1273.0335,1257.6353,95521250,176457164322
sh000020,中型综指,1770.0299,-2.762,-0.156,1772.7917,1755.8287,1789.6464,1750.7716,76918837,200021991503
sh000021,180治理,1101.7666,-8.49,-0.765,1110.2568,1099.3525,1108.1756,1094.496,69339269,131948097086
sh000022,沪公司债,254.2856,0.015,0.006,254.2704,254.2877,254.2905,254.2853,55791,53658525
sh000025,180基建,1728.3213,-9.174,-0.528,1737.4951,1731.9317,1736.3655,1725.2125,25485100,18382157297
sh000026,180资源,6051.3521,18.139,0.301,6033.2131,5833.7526,6097.3554,5833.7526,21271503,52495003641
sh000027,180运输,776.4934,-6.806,-0.869,783.2995,780.2729,781.0365,774.1016,7494188,5832487885
sh000028,180成长,4060.7425,-26.784,-0.655,4087.5263,4025.5738,4092.7905,4015.214,32536726,124880092575
sh000029,180价值,4331.5618,-20.192,-0.464,4351.7538,4325.9887,4349.5865,4299.9849,66631758,65080030446
sh000030,180R成长,2658.553,-15.54,-0.581,2674.0927,2638.9434,2678.7164,2630.8402,78604122,215552712516
sh000031,180R价值,3196.0997,-13.755,-0.429,3209.8548,3190.1699,3210.607,3175.719,112699154,155752650387
sh000032,上证能源,2146.7857,25.25,1.19,2121.5361,2081.6057,2156.4658,2081.6057,31011435,23616834727
sh000033,上证材料,4072.1966,24.468,0.604,4047.7291,3922.4648,4115.656,3914.3894,45144476,88630092787
sh000034,上证工业,2311.5361,-16.307,-0.701,2327.8432,2310.9858,2329.2083,2297.8132,42856364,49283635001
sh000035,上证可选,2953.8901,-11.221,-0.378,2965.1109,2948.9907,2972.1108,2924.9946,13980378,31056331109
sh000036,上证消费,11158.8835,-147.608,-1.306,11306.4919,11258.3542,11328.5078,11132.2669,5081329,25951832719
sh000037,上证医药,6435.8659,-10.932,-0.17,6446.7984,6440.4176,6487.4688,6399.1743,5908070,19972431988
sh000038,上证金融,5666.5976,-38.268,-0.671,5704.8652,5679.7101,5708.4039,5635.7489,34335489,38221684246
sh000039,上证信息,5638.6203,-39.015,-0.687,5677.6348,5604.1239,5706.3948,5567.5482,14241178,86682846207
sh000040,上证电信,4258.8515,42.152,1.0,4216.6991,4178.6951,4310.1186,4178.6951,17468146,46513334761
sh000041,上证公用,2533.0957,-1.019,-0.04,2534.1146,2525.8599,2542.7922,2518.5042,17497518,10635411749
sh000042,上证央企,1778.0013,-6.773,-0.379,1784.7742,1774.0109,1786.7068,1765.9057,57418830,68749130338
sh000043,超大盘,2569.3492,-6.254,-0.243,2575.6028,2546.891,2584.5295,2539.6962,20051608,78776622566
sh000044,上证中盘,4646.0872,-12.648,-0.271,4658.735,4617.4855,4675.6365,4602.7901,86033481,132117248131
sh000045,上证小盘,6208.5498,-4.11,-0.066,6212.6603,6138.3859,6279.564,6122.0167,126597217,240373915474
sh000046,上证中小,5370.4757,-9.079,-0.169,5379.5544,5323.5763,5416.2977,5309.4032,212630698,372491163605
sh000047,上证全指,4049.2437,-15.988,-0.393,4065.2313,4022.925,4079.3538,4011.9797,259420515,506097119189
sh000048,责任指数,1472.2882,-8.791,-0.594,1481.0791,1470.3305,1480.2808,1462.816,38529317,75402519336
sh000049,上证民企,2076.736,-9.009,-0.432,2085.7451,2053.6693,2098.075,2047.2157,36362643,97034079344
sh000050,50等权,2420.6369,-10.64,-0.438,2431.2773,2408.7224,2434.2451,2400.5899,46789818,133605955584
sh000051,180等权,9492.864,-29.762,-0.313,9522.6255,9444.2423,9549.5884,9414.9623,132823298,265723203715
sh000052,50基本,2967.5222,-19.396,-0.649,2986.9182,2962.5562,2981.3983,2945.2969,46789818,133605955584
sh000053,180基本,12503.4331,-62.179,-0.495,12565.6121,12471.2061,12565.6249,12417.511,132823298,265723203715
sh000054,上证海外,1601.5522,-7.08,-0.44,1608.6319,1589.9361,1611.1137,1587.6862,65242458,102064492041
sh000055,上证地企,1628.1948,-12.079,-0.736,1640.2735,1617.1418,1638.5455,1614.8163,35240098,87439547999
sh000056,上证国企,1279.5895,-7.233,-0.562,1286.8222,1272.3136,1286.6556,1269.486,65924138,131002037341
sh000057,全指成长,4010.1151,-23.676,-0.587,4033.7908,3978.6899,4045.1653,3969.1054,46717375,172601480278
sh000058,全指价值,4702.1305,-14.613,-0.31,4716.744,4680.5472,4726.0722,4666.3631,116303156,121515082775
sh000059,全R成长,3487.4604,-17.564,-0.501,3505.0244,3460.1586,3518.228,3449.2222,157738596,410144047079
sh000060,全R价值,4515.5417,-12.957,-0.286,4528.4987,4492.2707,4542.8689,4480.643,227324377,359057649576
sh000061,沪企债30,178.2181,0.003,0.002,178.2153,178.2252,178.2338,178.1374,1151992,1137969622
sh000062,上证沪企,2134.5177,-21.023,-0.975,2155.5404,2141.1165,2151.8341,2129.4656,17559530,39175471594
sh000063,上证周期,4011.5688,-19.859,-0.493,4031.4281,3976.6137,4034.2173,3972.3157,62693979,89987174700
sh000064,非周期,3659.2634,-21.517,-0.585,3680.7806,3650.881,3686.56,3632.9517,65101683,180669863101
sh000065,上证龙头,3720.6708,-8.812,-0.236,3729.4824,3697.4756,3747.9603,3688.6684,82592404,167936603658
sh000066,上证商品,4003.6651,10.978,0.275,3992.6874,3886.9503,4042.7139,3885.7049,48923461,90040817295
sh000067,上证新兴,9216.1908,-33.663,-0.364,9249.8542,9132.8367,9294.9876,9095.2554,27834542,114388618923
sh000068,上证资源,4512.3621,15.85,0.352,4496.5122,4358.5992,4552.8387,4358.5992,43020923,83662191020
sh000069,消费80,4926.0515,-37.728,-0.76,4963.7793,4947.5859,4958.0389,4902.5616,15825308,63003922517
sh000070,能源等权,3008.8597,41.13,1.386,2967.7302,2905.0425,3030.8969,2905.0425,31011435,23616834727
sh000071,材料等权,5613.9143,10.953,0.195,5602.9618,5429.5321,5685.6055,5415.2502,45144476,88630092787
sh000072,工业等权,3168.886,-17.877,-0.561,3186.7628,3160.9116,3195.2481,3145.2941,42856364,49283635001
sh000073,可选等权,3535.1381,-3.552,-0.1,3538.6898,3516.8211,3563.4964,3492.383,13980378,31056331109
sh000074,消费等权,7323.3584,-93.602,-1.262,7416.9607,7378.3139,7423.2043,7313.7261,5081329,25951832719
sh000075,医药等权,7025.9912,4.667,0.066,7021.3239,7027.673,7084.9202,6987.9431,5908070,19972431988
sh000076,金融等权,5589.0041,-27.714,-0.493,5616.7179,5600.1145,5624.2314,5558.3254,32845282,37571373021
sh000077,信息等权,6368.4128,-40.348,-0.63,6408.7604,6336.4367,6450.2019,6309.3034,14241178,86682846207
sh000078,电信等权,3782.7687,19.011,0.505,3763.7579,3727.9051,3829.6058,3727.9051,17468146,46513334761
sh000079,公用等权,2589.6811,5.506,0.213,2584.1755,2573.6397,2602.4382,2565.0617,17497518,10635411749
sh000090,上证流通,1504.7906,-4.774,-0.316,1509.5641,1494.3292,1516.8983,1490.5465,550206406,886378477471
sh000091,沪财中小,15763.757,43.002,0.274,15720.7547,15595.1964,15908.2148,15566.055,31037312,52183069147
sh000092,资源50,5437.2527,53.804,0.999,5383.4487,5236.4463,5481.307,5236.4463,40640930,93346459266
sh000093,180分层,12424.4244,-47.98,-0.385,12472.404,12367.2656,12492.9865,12341.3583,132823298,265723203715
sh000094,上证上游,5045.1419,8.236,0.164,5036.9058,4861.3006,5095.8072,4861.3006,42698547,83161891581
sh000095,上证中游,4117.7067,-4.625,-0.112,4122.3313,4075.0546,4160.8057,4061.218,99380950,260442873183
sh000096,上证下游,4264.6631,-44.418,-1.031,4309.0809,4294.8909,4302.9572,4255.6307,40521413,90801516533
sh000097,高端装备,12378.6079,-26.423,-0.213,12405.0305,12248.055,12523.3228,12205.4981,35182299,136994985442
sh000098,上证F200,5563.0758,-22.667,-0.406,5585.7429,5533.9471,5596.2067,5521.2287,167901108,234012883916
sh000099,上证F300,9727.2736,8.417,0.087,9718.8565,9632.3948,9822.9369,9609.8454,111455746,175954893658
sh000100,上证F500,6340.442,-20.305,-0.319,6360.7474,6302.0875,6381.9799,6288.8229,279356854,409967777574
sh000101,5年信用,252.2337,0.021,0.008,252.2127,252.2291,252.2338,252.2281,726800,732275523
sh000102,沪投资品,8386.1182,7.668,0.092,8378.4501,8187.296,8470.4565,8187.296,46992481,111302843286
sh000103,沪消费品,8100.1739,-58.746,-0.72,8158.9201,8155.7799,8172.1388,8080.8389,5620398,37299777624
sh000104,380能源,1456.9307,13.406,0.929,1443.5246,1419.346,1470.6311,1417.7456,13425856,8330695204
sh000105,380材料,6141.725,58.353,0.959,6083.3719,5953.3294,6221.9089,5942.8622,22293353,35502677252
sh000106,380工业,6732.0538,-17.211,-0.255,6749.2643,6667.7923,6812.766,6628.5297,27195934,59424443462
sh000107,380可选,5688.9182,-21.321,-0.373,5710.2388,5670.2753,5752.1077,5620.144,6549736,13946097897
sh000108,380消费,13024.7873,-25.184,-0.193,13049.9711,12999.9534,13171.761,12959.508,3512583,6587729565
sh000109,380医药,10104.3367,-13.606,-0.134,10117.9432,10128.8437,10199.7943,10060.8966,4323486,10772341032
sh000110,380金融,4293.9655,-18.862,-0.437,4312.8274,4296.6426,4341.5873,4281.9277,9802202,7538363203
sh000111,380信息,10734.0807,-135.141,-1.243,10869.2212,10742.3533,10916.4088,10688.9595,6998801,36017693329
sh000112,380电信,7094.3446,109.962,1.574,6984.3826,6905.022,7222.1822,6905.022,7006425,27819922355
sh000113,380公用,3122.9984,2.096,0.067,3120.9027,3097.7225,3150.0712,3084.2518,11131529,5111936952
sh000114,持续产业,1320.0407,5.588,0.425,1314.4529,1302.4656,1332.0793,1300.6908,26091639,40990234078
sh000115,380等权,9341.4574,-12.642,-0.135,9354.099,9268.0697,9441.1121,9241.2973,116664582,214373047435
sh000116,信用100,199.1052,-0.017,-0.008,199.1217,199.1314,199.1366,199.0792,1252500,1229115427
sh000117,380成长,4579.2842,-5.797,-0.126,4585.0816,4536.3135,4627.2733,4519.2714,19742865,57951435161
sh000118,380价值,10891.3347,18.793,0.173,10872.5417,10755.5577,10999.9027,10742.4691,50458244,49728701463
sh000119,380R成长,4704.3689,-13.304,-0.282,4717.6729,4665.8355,4761.6051,4649.4729,74113810,177932075447
sh000120,380R价值,10586.3948,7.781,0.074,10578.6135,10461.7747,10698.9418,10444.6908,104829189,169709341749
sh000121,医药主题,8092.4151,0.68,0.008,8091.735,8096.161,8164.7161,8054.1801,5983668,20701301762
sh000122,农业主题,1731.6669,10.237,0.595,1721.4298,1707.3805,1755.1384,1704.1581,8247082,7637566701
sh000123,180动态,7282.1241,-31.167,-0.426,7313.2907,7203.3755,7342.2563,7181.3413,61634815,170805413034
sh000125,180稳定,11687.7032,-81.042,-0.689,11768.7455,11715.6538,11766.7356,11623.7412,69100466,100256191883
sh000126,消费50,8264.7438,-71.404,-0.857,8336.1482,8301.7345,8325.613,8213.8572,12253173,48183798506
sh000128,380基本,9742.152,-3.239,-0.033,9745.3907,9655.1868,9843.4967,9632.1855,116621840,213900657092
sh000129,180波动,15193.126,-59.795,-0.392,15252.9212,15200.2664,15254.6777,15123.8356,79495216,100019689562
sh000130,380波动,13973.9499,-33.556,-0.24,14007.5061,13925.1098,14120.9577,13898.0705,33801548,30422389265
sh000131,上证高新,3880.4493,-10.195,-0.262,3890.6441,3851.5406,3937.8543,3821.8622,4134711,40250017446
sh000132,上证100,6345.7564,-28.259,-0.443,6374.0153,6301.8111,6409.5201,6278.1133,12730787,45027037056
sh000133,上证150,7418.6503,3.995,0.054,7414.6551,7330.3097,7514.111,7310.228,20268299,48576292768
sh000134,上证银行,974.9925,-6.185,-0.63,981.1776,978.1927,982.7417,969.6055,32078452,24087633389
sh000135,180高贝,6543.2394,-31.524,-0.479,6574.7634,6499.9604,6600.2055,6470.6663,28020589,110790675731
sh000136,180低贝,12686.839,-25.549,-0.201,12712.3882,12683.1989,12742.4458,12609.7135,52052000,52577953671
sh000137,380高贝,6497.2857,-9.873,-0.152,6507.1587,6427.5937,6580.8199,6397.949,15461072,69709483758
sh000138,380低贝,8565.7596,-24.43,-0.284,8590.1894,8555.8639,8658.1263,8535.0144,28306530,32388435485
sh000139,上证转债,451.3533,2.527,0.563,448.8261,447.7305,453.4284,446.193,25411679,45887215236
sh000141,380动态,4233.7468,-7.981,-0.188,4241.7274,4191.5496,4284.7445,4176.776,56912795,134670645245
sh000142,380稳定,10658.248,-15.43,-0.145,10673.6781,10572.1323,10778.0084,10547.2184,58541301,73870550610
sh000145,优势资源,9208.5886,12.85,0.14,9195.739,8897.7573,9303.481,8897.7573,36216317,78184328533
sh000146,优势制造,8613.1043,-25.726,-0.298,8638.83,8547.3753,8706.4947,8498.9336,29807309,73293118264
sh000147,优势消费,6767.4099,-46.811,-0.687,6814.2206,6809.3696,6837.5209,6750.0632,6461738,32884470913
sh000148,消费领先,9422.8019,-91.46,-0.961,9514.2622,9461.2774,9483.033,9396.5675,47430360,113573984929
sh000149,180红利,3982.8018,-5.213,-0.131,3988.0145,3969.4205,3995.147,3945.8636,37174471,36506642308
sh000150,380红利,12318.7668,-53.175,-0.43,12371.9419,12261.8807,12453.8727,12231.1657,9015954,10463533561
sh000151,上国红利,1562.9446,-7.032,-0.448,1569.9769,1556.8715,1572.583,1550.5976,21163615,20796620256
sh000152,上央红利,2867.0247,-8.773,-0.305,2875.7978,2854.2888,2879.8267,2840.1129,33504479,28898428054
sh000153,上民红利,3353.4342,0.587,0.018,3352.8468,3337.9716,3381.6053,3330.1275,6375805,6240324046
sh000155,市值百强,3308.6923,-21.147,-0.635,3329.8394,3294.4426,3329.1072,3283.1441,93801322,212512693239
sh000158,上证环保,1474.4426,21.508,1.48,1452.9342,1430.407,1494.4483,1428.4235,25723129,41901861480
sh000159,沪股通,3810.7081,-13.593,-0.355,3824.3012,3784.6514,3841.3027,3775.1994,481949454,801239172490
sh000160,沪新丝路,2318.4181,0.721,0.031,2317.6969,2279.3506,2338.8721,2279.3506,73584830,98099004093
sh000161,沪中国造,1879.7784,-2.082,-0.111,1881.8607,1861.8151,1899.9411,1850.6946,45553396,113854393091
sh000162,沪互联+,3689.8488,-21.199,-0.571,3711.0477,3686.3794,3725.2985,3659.1423,18802113,46974146536
sh000170,50AH优选,6354.1711,-63.934,-0.996,6418.1054,6334.6768,6394.1552,6304.5982,28646944,93954712145
sh000300,沪深300,4643.5959,-26.823,-0.574,4670.4188,4622.9747,4678.2618,4606.6379,202716477,505759806238
sh000510,中证A500,5792.012,-25.586,-0.44,5817.5979,5751.5281,5843.6615,5729.4963,322022011,781919095621
sh000680,科创综指,1753.605,-6.076,-0.345,1759.6806,1740.8115,1775.5031,1732.8511,40100652,200592162562
sh000681,科创价格,1692.6132,-5.883,-0.346,1698.4959,1680.2647,1713.7497,1672.5811,40100652,200592162562
sh000682,科创信息,2149.7593,-19.971,-0.92,2169.7308,2141.5261,2180.1227,2128.6314,6198755,63261042246
sh000683,科创生物,1083.1671,-2.956,-0.272,1086.123,1082.7047,1095.3694,1071.674,1903360,9116596118
sh000687,科创高装,1439.7474,-1.543,-0.107,1441.2902,1424.6076,1457.8405,1418.8168,3607120,22655806719
sh000688,科创50,1422.406,-10.116,-0.706,1432.5216,1415.0469,1440.808,1405.8744,13035099,62257704857
sh000689,科创材料,1302.4945,3.567,0.275,1298.9273,1288.5092,1321.3233,1282.7173,3544114,15346755734
sh000690,科创成长,1909.7554,-6.201,-0.324,1915.9561,1891.942,1937.7964,1886.2013,3109301,36866720679
sh000691,科创ESG,1573.671,-13.736,-0.865,1587.4071,1572.5042,1591.9151,1560.9247,4758624,42147789676
sh000692,科创新能,1339.062,24.606,1.872,1314.4561,1294.0614,1360.651,1288.3283,11210750,24580506005
sh000693,科创机械,1613.9887,-5.723,-0.353,1619.7118,1597.5065,1638.9999,1586.8353,2733472,18012998439
sh000695,科长三角,1128.327,-14.912,-1.304,1143.2394,1127.7024,1146.0313,1121.5292,6752315,40519611689
sh000697,科大湾区,1438.2386,0.952,0.066,1437.287,1423.9982,1458.9531,1418.876,3522113,21546769943
sh000698,科创100,1585.4929,-6.45,-0.405,1591.9433,1573.3232,1609.2221,1567.6033,7895180,49860244791
sh000699,科创200,1489.8916,-9.92,-0.661,1499.8112,1480.9538,1514.2275,1477.5311,10889231,56719947194
sh000802,500沪市,8241.0889,1.0,0.012,8240.0893,8150.1995,8335.2285,8126.0969,105306328,177863814011
sh000819,有色金属,10463.0761,38.94,0.374,10424.136,10002.9491,10596.3311,9987.5385,49468501,114922149365
sh000823,800有色,12218.5936,46.469,0.382,12172.1249,11681.4521,12371.2666,11667.6418,46132163,106855429976
sh000827,中证环保,1950.3742,24.731,1.284,1925.6433,1905.0114,1971.3596,1900.3166,67693377,137289612847
sh000847,腾讯济安,3710.5307,-3.845,-0.104,3714.376,3684.8927,3743.5323,3676.8025,31004137,85129352865
sh000849,300非银,10969.7562,-75.554,-0.684,11045.3103,10982.2658,11051.1421,10927.7511,12211516,25649216086
sh000851,百发100,22254.2921,72.582,0.327,22181.7097,22017.8418,22481.2908,21928.6159,17851700,45263267473
sh000852,中证1000,8051.5742,-16.502,-0.205,8068.0767,7980.4657,8152.3221,7950.0104,281083563,444590291967
sh000853,CSSW丝路,1663.461,-8.821,-0.527,1672.282,1657.8465,1674.968,1651.6856,24587816,132961750750
sh000854,500原料,6699.4418,48.805,0.734,6650.6367,6489.5794,6787.1618,6460.3863,37853538,74506569358
sh000855,央视500,1661.1835,-7.756,-0.465,1668.9392,1651.8503,1673.3621,1646.5204,271133727,710015008859
sh000856,500工业,8326.2091,13.781,0.166,8312.428,8220.4106,8433.3076,8179.1458,47833473,106934880726
sh000857,500医药,10587.8804,-25.203,-0.237,10613.0837,10618.4356,10697.678,10535.1144,7294069,15555585447
sh000858,500信息,11409.8325,-70.924,-0.618,11480.7565,11373.3041,11592.1332,11292.6565,23057660,86751909700
sh000860,结构调整,1275.236,-3.573,-0.279,1278.8086,1267.0464,1284.0282,1264.0098,63563273,104722349521
sh000865,上海国企,1532.9931,-6.554,-0.426,1539.5474,1531.4145,1543.7706,1523.3372,17664943,27883765120
sh000867,港中小企,2862.3121,-20.974,-0.727,2883.2865,2857.7446,2886.9575,2832.0842,23800511,26042599391
sh000869,HK银行,4555.7189,-16.19,-0.354,4571.9091,4514.8683,4564.3648,4496.3562,8507372,8822488346
sh000888,上证收益,4662.0208,-10.836,-0.232,4672.8571,4633.0273,4695.7877,4621.1863,556709801,898655032959
sh000891,新兴综指,1966.2766,-3.712,-0.188,1969.9885,1948.9627,1988.6974,1940.0578,468533101,1145624333919
sh000901,小康指数,6407.4206,-11.338,-0.177,6418.759,6360.0585,6443.278,6347.6872,89630168,118685462214
sh000903,中证A100,4534.9198,-23.323,-0.512,4558.2426,4505.6399,4570.8042,4492.0653,88705890,273586877602
sh000905,中证500,8146.4128,0.306,0.004,8146.1073,8054.218,8247.2968,8014.6599,218642144,418373434781
sh000906,中证800,5246.4497,-21.514,-0.408,5267.9632,5212.7528,5291.7753,5193.1519,421358622,924133241019
sh000913,300医药,8313.8108,-24.936,-0.299,8338.7469,8303.9793,8365.7945,8267.4244,5476401,20455279022
